Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
a01.RunF21A0_1Tests,run:a:tests,RunF21A0_1Tests,run:a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setTracerShowInfo,set:tracer:show:info
a01.RunF21A0_1Tests,run:a:tests,RunF21A0_1Tests,run:a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setBufferTracedMessages,set:buffer:traced:messages
a01.RunF21A0_1Tests,run:a:tests,RunF21A0_1Tests,run:a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxPrintedTraces,set:max:printed:traces
a01.RunF21A0_1Tests,run:a:tests,RunF21A0_1Tests,run:a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxTraces,set:max:traces
a01.RunF21A0_1Tests,run:a:tests,RunF21A0_1Tests,run:a:tests,main,main,none,none,grader.basics.execution.BasicProjectExecution,basic:project:execution,grader.basics.execution.BasicProjectExecution,basic:project:execution,setProcessTimeOut,set:process:time:out
a01.RunF21A0_1Tests,run:a:tests,RunF21A0_1Tests,run:a:tests,main,main,none,none,gradingTools.comp524f21.assignment0_1.F21Assignment0_1Suite,assignment:suite,gradingTools.comp524f21.assignment0_1.F21Assignment0_1Suite,assignment:suite,main,main
a01.Hello,hello,@GreetingMain,greeting:main,main,main,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a01.Hello,hello,@GreetingMain,greeting:main,main,main,none,none,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
