Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGivenAndGeneratedCombinationsDerivedSafety,print:given:and:generated:combinations:derived:safety,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printGeneratedCombinationDerivedSafety,print:generated:combination:derived:safety
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,generateSafeDistancesAndDurations,generate:safe:distances:and:durations,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,exhaleHighInterpolation,exhale:high:interpolation
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,generateSafeDistancesAndDurations,generate:safe:distances:and:durations,none,none,java.util.ArrayList,array:list,java.util.ArrayList,array:list,ArrayList,array:list
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,generateSafeDistancesAndDurations,generate:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,add,add
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,generateSafeDistancesAndDurations,generate:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,add,add
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,generateSafeDistancesAndDurations,generate:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,add,add
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,generateSafeDistancesAndDurations,generate:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,add,add
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,generateSafeDistancesAndDurations,generate:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,add,add
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,generateSafeDistancesAndDurations,generate:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,add,add
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,generateSafeDistancesAndDurations,generate:safe:distances:and:durations,none,none,java.util.List,list,java.util.List,list,add,add
a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,printSafeDistancesAndDurations,print:safe:distances:and:durations,none,none,a1.SocialDistancing,social:distancing,@BasicSocialDistanceUtility,basic:social:distance:utility,generateSafeDistancesAndDurations,generate:safe:distances:and:durations
